name,sku,description,unit_price,unit,brand,supplier_name
BA8945 Cursor Eurotech TURBO,1 2BA-8945,,13886.32,unidad,FRAM,BERAL SRL
C10026 = C507 PEUGEOT BOXER,1 6C-10026,,21098.47,unidad,FRAM,BERAL SRL
C10039ECO CHEVROLET VECTRA,1 6C-10039ECO,,11497.07,unidad,FRAM,BERAL SRL
C10194 COMB.FOCUS TDCI,1 6C-10194,,8638.51,unidad,FRAM,BERAL SRL
C10308 =C515 VWPASSAT,1 6C10308,,23862.06,unidad,FRAM,BERAL SRL
C10353 Toyota Hilux Nueva,1 6C-10353,,6472.94,unidad,FRAM,BERAL SRL
C10448 AUDI A3,1 6C-10448,,21046.54,unidad,FRAM,BERAL SRL
C10586 FORD MONDEO TDCi,1 6C-10586,,19235.08,unidad,FRAM,BERAL SRL
C10635 IVECO DAILY HPI,1 6C-10635,,18795.3,unidad,FRAM,BERAL SRL
C10705 PUEGEOT BOXER HDi JUMPE,1 6C-10705,,10994.46,unidad,FRAM,BERAL SRL
C10750 GM CRUZE 2.0 VDCi,1 6C-10750,,21151.26,unidad,FRAM,BERAL SRL
C10777ECO CITROEN C4 PICASSO,1 6C-10777ECO,,12565.1,unidad,FRAM,BERAL SRL
C10778 CITROEN C5 DS3 DS4,1 6C-10778,,15392.26,unidad,FRAM,BERAL SRL
C11162 = C527 RENAULT MASTER,1 6C-11162,,9097.89,unidad,FRAM,BERAL SRL
C11507 RV RANGER 2013,1 6C-11507 RV,,8014.25,unidad,FRAM,BERAL SRL
C11574 RENAULT KANGOO,1 6C-11574,,21983.69,unidad,FRAM,BERAL SRL
C11680 FIAT TORO 2.0L 16V TD,1 6C-11680,,20941.84,unidad,FRAM,BERAL SRL
C11723 CHEVROLET S10 2.8L TD,1 6C-11723,,19475.91,unidad,FRAM,BERAL SRL
C1173PL GM PRIMARIO,1 6C-1173PL,,28637.96,unidad,FRAM,BERAL SRL
CA10216 AUDI,1 1CA-10216,,50574.52,unidad,FRAM,BERAL SRL
CA10524 AUDI,1 1CA-10524,,21334.5,unidad,FRAM,BERAL SRL
CA11070 AUDI A6,1 1CA-11070,,61359.58,unidad,FRAM,BERAL SRL
CA10117 HYUNDAI (MANN C2421),1 2CA-10117,,10680.33,unidad,FRAM,BERAL SRL
CA10273 MITSUBISHI L200,1 2CA-10273,,52773.42,unidad,FRAM,BERAL SRL
CA10328 VW PASSAT 3.2,1 2CA-10328,,19115.58,unidad,FRAM,BERAL SRL
CA10470 HYUNDAI 130,1 2CA-10470,,14868.7,unidad,FRAM,BERAL SRL
CA11210 BMW X 3 1.8 2.0 3.0,1 2CA-11210,,46386.16,unidad,FRAM,BERAL SRL
CA11897 CITROEN PEUGEOT HDi,1 2CA-11897,,20355.45,unidad,FRAM,BERAL SRL
CA5948 MBENZ C180 C200 C220,1 2CA-5948,,19999.46,unidad,FRAM,BERAL SRL
CA9041 M BENZ C200 E200,1 2CA-9041,,20104.16,unidad,FRAM,BERAL SRL
CA9680 M BENZ C160 C180 C200,1 2CA-9680,,49684.5,unidad,FRAM,BERAL SRL
CA9782 DAEWOO TACUMA CDX 2.0,1 2CA-9782,,12631.95,unidad,FRAM,BERAL SRL
CFA10055 M BENZ A100 A200 B100,1 4CF-10055,,18030.92,unidad,FRAM,BERAL SRL
CF10831 MINI COOPER,1 4CF-10831,,7539.06,unidad,FRAM,BERAL SRL
CF5842 M BENZ CHRYSLER,1 4CF-5842,,12816.4,unidad,FRAM,BERAL SRL
CF8913 BMW 300,1 4CF-8913,,17758.68,unidad,FRAM,BERAL SRL
CF9396 VOLVO 560 580 V70XC70,1 4CF-9396,,17800.58,unidad,FRAM,BERAL SRL
